UID;DATE;SYMBOL;ACTION;QUANTY;PRICE;FEE;FEE_CURRENCY;REBATE;REBATE_CURRENCY
1;27.7.2021 14:43:18;BTC/CZK;BUY;0.066506;210507.3226;;;;
2;27.7.2021 14:43:19;BTC/CZK;BUY;0.066506;210507.3226;140;CZK;;
3;27.7.2021 14:43:20;BTC/CZK;BUY;0.066506;210507.3226;0.001;BTC;;
4;27.7.2021 14:59:21;BTC/EUR;SELL;0.066306;8736.534094;;;;
5;27.7.2021 14:59:22;BTC/EUR;SELL;0.066306;8736.534094;;;5.7;EUR
6;27.7.2021 14:59:23;BTC/EUR;SELL;0.066306;8736.534094;;;0.001;BTC
7;27.7.2021 14:59:24;BTC/CZK;FEE;;;100;CZK;;
8;27.7.2021 14:59:25;BTC/CZK;FEE;;;0.01;BTC;;
9;27.7.2021 14:59:26;BTC/CZK;REBATE;;;;;100;CZK
10;27.7.2021 14:59:27;BTC/CZK;REBATE;;;;;0.01;BTC
